Raw Channel One;Raw Channel Two;Raw Channel Three;Raw Channel Four;Raw Channel Z;Raw EMG;Raw EMG Reference;Raw Ground One;Raw Ground Two;Raw Blink Channel;Timestamp;Movement;Threshold
14843942;3014946;8116818;12880851;-5040693;859403;-9367514;0;0;-3102493;613750;0;9975
14850904;3017855;8120490;12887288;-5046988;1187467;-9470750;0;0;-3096580;613752;0;9975
14858581;3022051;8127881;12895967;-5051231;1447963;-9408093;0;0;-3091431;613754;0;9975
14854671;3019333;8126212;12892676;-5055094;1573467;-9456349;0;0;-3095627;613756;0;9975
14845325;3014612;8121491;12880756;-5053520;1468801;-9472180;0;0;-3109169;613758;0;9975
14835502;3006124;8114815;12866927;-5053282;1200342;-9381629;0;0;-3125381;613760;0;9975
14833022;3004980;8115674;12865735;-5048037;882148;-9312392;0;0;-3131342;613762;0;9975
14833833;3006029;8115674;12866450;-5042219;607490;-9343577;0;0;-3133631;613764;0;9975
14835216;3008270;8114672;12867166;-5036402;464439;-9382487;0;0;-3130054;613766;0;9975
14839031;3011799;8116246;12873794;-5038023;587844;-9365369;0;0;-3120327;613768;0;9975
14846231;3017568;8123351;12883092;-5039740;884342;-9362603;0;0;-3107166;613770;0;9975
14848663;3016376;8123780;12885381;-5047941;1194000;-9392214;0;0;-3101063;613772;0;9975
14849950;3016615;8121586;12887622;-5057192;1440859;-9385873;0;0;-3099108;613774;0;9975
14847423;3015423;8119297;12885858;-5062533;1589012;-9410954;0;0;-3101015;613776;0;9975
14845182;3013468;8121682;12878467;-5055285;1466846;-9456683;0;0;-3108835;613778;0;9975
14841701;3009844;8120490;12869025;-5045223;1180219;-9399319;0;0;-3118944;613780;0;9975
14841558;3012323;8121682;12867881;-5035114;860977;-9384967;0;0;-3122139;613782;0;9975
14839221;3012609;8122397;12866880;-5030203;599908;-9372330;0;0;-3125906;613784;0;9975
14836599;3010654;8119202;12864781;-5027390;470209;-9334088;0;0;-3125810;613786;0;9975
14839317;3010893;8116198;12867642;-5031395;584983;-9342051;0;0;-3117990;613788;0;9975
14843370;3012276;8117199;12873984;-5035257;876951;-9414483;0;0;-3106546;613790;0;9975
14845563;3011894;8117915;12880612;-5045557;1208114;-9420348;0;0;-3101158;613792;0;9975
14848615;3013086;8120251;12883617;-5053187;1465416;-9391595;0;0;-3096866;613794;0;9975
14845992;3009748;8118344;12878848;-5059099;1595449;-9367562;0;0;-3102732;613796;0;9975
14831449;2999353;8106614;12863113;-5062151;1487350;-9349061;0;0;-3123188;613798;0;9975
14827968;2997589;8106852;12857486;-5053997;1188087;-9373522;0;0;-3133106;613800;0;9975
14838411;3007173;8117533;12863160;-5037356;868034;-9361935;0;0;-3126669;613802;0;9975
14836551;3007698;8117533;12861014;-5031967;618457;-9328080;0;0;-3126955;613804;0;9975
14833881;3007030;8115197;12860013;-5027771;493288;-9298993;0;0;-3125906;613806;0;9975
14836932;3006840;8114434;12863256;-5031586;598573;-9342623;0;0;-3119707;613808;0;9975
14839126;3005934;8113194;12867166;-5042029;883722;-9399176;0;0;-3111219;613810;0;9975
14843799;3008079;8115435;12876178;-5047846;1210928;-9394980;0;0;-3103924;613812;0;9975
14843751;3005838;8114100;12875749;-5057812;1477766;-9361792;0;0;-3106165;613814;0;9975
14841319;3002834;8113337;12871457;-5062485;1619625;-9328175;0;0;-3112984;613816;0;9975
14840652;3005075;8115578;12869502;-5054760;1502943;-9276248;0;0;-3118563;613818;0;9975
14840223;3006887;8117629;12865592;-5042124;1219797;-9286357;0;0;-3121710;613820;0;9975
14835025;3002596;8114291;12860347;-5036783;880909;-9318686;0;0;-3130388;613822;0;9975
14834119;3001594;8113051;12856628;-5035114;611686;-9365750;0;0;-3134394;613824;0;9975
14832784;3001165;8111287;12855340;-5032110;464725;-9366799;0;0;-3132534;613826;0;9975
14834358;3003597;8109999;12859965;-5034781;560522;-9447385;0;0;-3124285;613828;0;9975
14836694;3005218;8107806;12866212;-5040312;856590;-9460974;0;0;-3116894;613830;0;9975
14841224;3007555;8111620;12874557;-5048657;1191282;-9430218;0;0;-3113842;613832;0;9975
14846708;3011370;8116770;12881471;-5054331;1461792;-9392596;0;0;-3111029;613834;0;9975
14845039;3010034;8114958;12879182;-5056286;1604271;-9336472;0;0;-3114557;613836;0;9975
14842798;3012228;8117390;12876893;-5048847;1468753;-9391881;0;0;-3121757;613838;0;9975
14840652;3013420;8118821;12871457;-5038452;1178884;-9402371;0;0;-3128815;613840;0;9975
14838125;3010654;8117581;12865687;-5034590;870132;-9340525;0;0;-3134680;613842;0;9975
14834548;3008509;8115483;12862683;-5033016;600862;-9346581;0;0;-3139114;613844;0;9975
14834167;3009748;8113194;12864829;-5028677;472736;-9335328;0;0;-3137064;613846;0;9975
14839794;3013182;8115817;12872745;-5028916;598859;-9326268;0;0;-3124428;613848;0;9975
14852191;3021860;8123875;12886716;-5028391;881576;-9381009;0;0;-3106069;613850;0;9975
14857484;3023815;8126164;12891723;-5033255;1182174;-9433175;0;0;-3096342;613852;0;9975
14856149;3023434;8123780;12891008;-5042648;1454115;-9393979;0;0;-3097057;613854;0;9975
14853765;3023052;8123112;12890149;-5048895;1596021;-9383059;0;0;-3103781;613856;0;9975
14848329;3020191;8123780;12882186;-5045462;1468372;-9400654;0;0;-3114796;613858;0;9975
14844276;3016233;8123160;12873651;-5035925;1171255;-9314109;0;0;-3123331;613860;0;9975
14838601;3011942;8119584;12865211;-5032873;858211;-9324647;0;0;-3133154;613862;0;9975
14837076;3010702;8117533;12864305;-5029488;600338;-9298850;0;0;-3136110;613864;0;9975
14845325;3020716;8126307;12875129;-5016613;494766;-9214497;0;0;-3125334;613866;0;9975
14851571;3026676;8128453;12885953;-5014515;633382;-9183932;0;0;-3112268;613868;0;9975
14851333;3024340;8124257;12886573;-5025101;897741;-9341765;0;0;-3105831;613870;0;9975
14855911;3024769;8128357;12891008;-5033589;1185560;-9435368;0;0;-3098822;613872;0;9975
14862253;3029632;8132506;12899686;-5035782;1446914;-9434033;0;0;-3092098;613874;0;9975
14863063;3029585;8132935;12898017;-5039406;1590967;-9353591;0;0;-3093433;613876;0;9975
14853813;3022623;8128071;12883903;-5039454;1465273;-9345580;0;0;-3107405;613878;0;9975
14844610;3017568;8122969;12871362;-5034351;1182747;-9387017;0;0;-3121996;613880;0;9975
14842750;3016758;8122445;12868978;-5026293;858306;-9356070;0;0;-3126812;613882;0;9975
14844133;3016996;8123446;12869168;-5020762;570440;-9396601;0;0;-3127909;613884;0;9975
14843084;3016376;8121300;12868215;-5014753;451660;-9440518;0;0;-3125286;613886;0;9975
14841892;3013372;8117390;12869311;-5022335;542402;-9512139;0;0;-3121137;613888;0;9975
14843227;3012800;8116103;12872935;-5032253;831794;-9463025;0;0;-3112888;613890;0;9975
14848377;3013992;8119250;12877990;-5039787;1160383;-9459448;0;0;-3104401;613892;0;9975
14853622;3017139;8123923;12883664;-5043697;1428079;-9433604;0;0;-3098631;613894;0;9975
14854099;3019047;8126784;12885715;-5043459;1563215;-9401894;0;0;-3098059;613896;0;9975
14849759;3017711;8124161;12878133;-5037594;1443052;-9408188;0;0;-3106832;613898;0;9975
14850856;3022814;8126879;12877132;-5023050;1153516;-9420586;0;0;-3113270;613900;0;9975
14846946;3021908;8126975;12873555;-5016518;829410;-9399462;0;0;-3118801;613902;0;9975
14842655;3018188;8121920;12867929;-5015802;579738;-9379721;0;0;-3124857;613904;0;9975
14846851;3022623;8122874;12872268;-5009270;476360;-9308959;0;0;-3118706;613906;0;9975
14856197;3031635;8129502;12885047;-5005741;616264;-9266568;0;0;-3103924;613908;0;9975
14859630;3034258;8129597;12890626;-5011511;891161;-9320069;0;0;-3094959;613910;0;9975
14861728;3032970;8131409;12893725;-5020428;1180315;-9452725;0;0;-3090048;613912;0;9975
14861156;3028202;8130980;12893487;-5031300;1437711;-9451962;0;0;-3093052;613914;0;9975
14856864;3025818;8127261;12889911;-5039549;1572942;-9443141;0;0;-3098678;613916;0;9975
14851858;3024244;8126259;12881375;-5034161;1454544;-9443904;0;0;-3108597;613918;0;9975
14844800;3017139;8122206;12871648;-5029011;1160812;-9392453;0;0;-3119659;613920;0;9975
14838077;3013563;8118439;12864305;-5025911;835466;-9378005;0;0;-3127432;613922;0;9975
14839603;3013801;8120060;12864019;-5021381;569343;-9373809;0;0;-3128576;613924;0;9975
14844228;3017378;8121682;12868644;-5012512;448370;-9356547;0;0;-3121662;613926;0;9975
14848996;3020620;8123780;12876464;-5014467;569725;-9377957;0;0;-3111791;613928;0;9975
14853193;3022432;8124924;12882615;-5020332;880336;-9381009;0;0;-3103733;613930;0;9975
14853383;3021908;8122349;12885619;-5031395;1213455;-9361792;0;0;-3101444;613932;0;9975
14859821;3026962;8129073;12893630;-5034113;1475620;-9347058;0;0;-3095960;613934;0;9975
14860488;3028059;8133173;12895156;-5035448;1581812;-9415007;0;0;-3100300;613936;0;9975
14857103;3026533;8132649;12887431;-5030346;1447534;-9449435;0;0;-3110599;613938;0;9975
14847280;3021431;8126641;12876893;-5024862;1162719;-9380198;0;0;-3123903;613940;0;9975
14842893;3017378;8123875;12873078;-5022240;843143;-9326983;0;0;-3133106;613942;0;9975
14843894;3021288;8125210;12874747;-5015421;597906;-9300233;0;0;-3132820;613944;0;9975
14847232;3025770;8127499;12879420;-5009317;477361;-9249640;0;0;-3126669;613946;0;9975
14855529;3032112;8130837;12891627;-5007696;598812;-9313775;0;0;-3110838;613948;0;9975
14861966;3036690;8135033;12899591;-5009985;883007;-9414530;0;0;-3098822;613950;0;9975
14862920;3036785;8135462;12901498;-5020762;1189088;-9436513;0;0;-3094053;613952;0;9975
14857484;3030443;8130599;12896920;-5034781;1441669;-9428597;0;0;-3095198;613954;0;9975
14852620;3027630;8126975;12893392;-5041313;1567125;-9431458;0;0;-3102350;613956;0;9975
14853145;3029442;8130742;12890674;-5033159;1457977;-9381152;0;0;-3109503;613958;0;9975
14849950;3027344;8130360;12883426;-5025148;1182937;-9311486;0;0;-3120899;613960;0;9975
